frase,tag
cancelar doctor internet,cancelar-servicos
o motivo que eu tô sem o meu telefone tá desligado,reparar-linha
eu desejo pagar minhas contas e devolver a telefônica o que é dela,pagar-conta
quero conserto da telefônica,reparar-linha
mudança mudança de endereço,mudar-endereco
a linha do telefone tá com problema,reparar-linha
serviço de reparo na linha,reparar-linha
queria fazer um reparo no barulho da linha,reparar-linha
eu quero uma linha convencional,comprar-linha
problemas na minha linha e não consigo falar com vocês,reparar-linha
transferência de linha transferência de endereço,mudar-endereco
chiadeira no telefone,reparar-linha
eu quero um conserto na minha linha,reparar-linha
reparo dada minha linha,reparar-linha
estou com ruído na linha queria quero que conserte,reparar-linha
quero fazer o pedido de uma linha telefônica para minha amiga,comprar-linha
mudanças mudança eu estou mudando de um bairro da cidade de itu para outro,mudar-endereco
o que faço para tirar duvida da minha linha que esta sempre ocupada,reparar-linha
gostaria de ter uma linha controle,comprar-linha
o telefone só tá recebendo ligação,reparar-linha
meu telefone está temporariamente fora de área,reparar-linha
problema problema na linha telefônica,reparar-linha
eu quero conserto da linha,reparar-linha
eu quero saber porque o meu telefone da minha mãe não faz chamada,reparar-linha
quero saber porque que vocês delisgaram o meu telefone,reparar-linha
a linha tá com defeito não atende o telefone,reparar-linha
eu desejo transferir a minha meu número de telefone,mudar-endereco
é transferência de endereço de telefone internet,mudar-endereco
não quero mais receber chamada a cobrar na minha linha telefônica,reparar-linha
eu quero mudar minha linha pra outro bairro,mudar-endereco
eu quero uma reclamação do meu telefone fixo que está sem linha,reparar-linha
gostaria de fazer uma solicitação de reparo na linha,reparar-linha
eu quero arrumar o telefone,reparar-linha
quero comprar linha telefônica,comprar-linha
o motivo da minha chamada é o seguinte eu morava em ibiúna e pedir uma transferência do meu telefone pra são roque que eu mudei pra são roque a uma semana e desligaram,mudar-endereco
reparo na conta na linha,reparar-linha
a uns três dias eu não consigo fazer chamada nem pra fixo nem pra celular,reparar-linha
minha linha está com defeito,reparar-linha
quero saber porque o telefone três dois,reparar-linha
a minha linha está sem ligação,reparar-linha
quero pedir uma ligação de uma linha,comprar-linha
o telefone dois dois nove dois oito meia um nove sem linha,reparar-linha
quero pagar tudo,pagar-conta
eu quero pagar a minha conta atrasada,pagar-conta
resolver o problema da linha que não foi ligada foi transferida,reparar-linha
eu quero saber porque o meu telefone tá bloqueado,reparar-linha
por favor eu queria saber porque a minha linha está dando só ocupado,reparar-linha
eu quero saber que nós pagamos a conta do telefone e ele não tá fazendo ligação,pagar-conta
como faço para solicitar a visita de um técnico,vago-visitaTecnica
a migração da minha linha não consigo fazer ligação não consigo completar a ligação,reparar-linha
como faço para pagar,pagar-conta
ativar o chip do produto fixo,comprar-linha
quero saber como transferir esse telefone para outro endereço,mudar-endereco
eu quero saber porque que o telefone não tá funcionando ainda não tá fazendo chamada,reparar-linha
problema com a linha telefônica,reparar-linha
é que o telefone da vizinha está desligado,reparar-linha
quero cancelar o serviço doctor internet,cancelar-servicos
quero saber o endereço da loja mais próxima de pinheiros,mudar-endereco
a linha está cruzada,reparar-linha
como faço pra solicitar uma linha telefônica,comprar-linha
eu quero um laudo técnico da minha linha telefônica,reparar-linha
quero te ruma linha,comprar-linha
mudei de endereço eu queria,mudar-endereco
querência de endereço da linha telefônica,mudar-endereco
puxar uma nova extensão,reparar-linha
adquirir telefone fixo residencial,comprar-linha
telefone produto não funciona,reparar-linha
é que meu telefone não tá fazendo não tá atendendo ligações,reparar-linha
problema com linhas cruzadas,reparar-linha
ai eu quero eu quero adquirir uma linha de telefone,comprar-linha
reparação na linha,reparar-linha
desejo um reparo na linha,reparar-linha
é telefone bloqueado,reparar-linha
quero cancelar chamada a cobrar,cancelar-servicos
eu preciso pedir pra arrumar meu telefone,reparar-linha
tem muito ruído na minha no meu aparelho,reparar-linha
o motivo da minha ligação é que a minha conta chegou atrasada,pagar-conta
quero é quero saber um reparo na linha,reparar-linha
pra cancelar o despertador eu não pedí que tocasse não minha casa,cancelar-servicos
como faço para retirar a caixa postal do meu telefone,cancelar-servicos
é instalei meu telefone e não tá funcionando,reparar-linha
é um técnico pra arrumar meu telefone que tá mudo,reparar-linha
eu quero fazer um pedido de telefone,comprar-linha
cancelamento do suporte de informática,cancelar-servicos
outro serviço conserto de um telefone,reparar-linha
quero contratar duas linhas telefônicas com números de fácil memorização,comprar-linha
manutenção da linha telefone com problema,reparar-linha
telefone digital precisa de um reparo,reparar-linha
acerto da minha conta,pagar-conta
quero fazer um reparo em outra linha que se encontra aqui na mesma residência,reparar-linha
é linha cortada telefone cortado,reparar-linha
transferir de endereço,mudar-endereco
quero reparos na linha,reparar-linha
reparo em linha residencial,reparar-linha
nova linha pedidos de linha telefônica,comprar-linha
como faço para alterar o endereço,mudar-endereco
conserto da minha linha telefônica,reparar-linha
atendente sobre reparo na linha telefônica,reparar-linha
é cancelar contas,cancelar-conta
a não ligação do telefone,reparar-linha
eu eu quero a libaração da minha linha telefônica foi cortada,reparar-linha
quero pedir a religação de linha mais por mudança de endereço,mudar-endereco
reparo do telefone é residencial,reparar-linha
ver se a linha está com problema,reparar-linha
saber se foram fazer reparo numa linha,reparar-linha
eu quero saber saber se meu telefone está bloqueado ou não,reparar-linha
cancelamento de cobrança de terceiros,cancelar-conta
telefone com defeito,reparar-linha
desativar a minha caixa postal,cancelar-servicos
gostaria de saber porque meu telefone tá bloqueado,reparar-linha
queria fazer o cancelamento da secretária light,cancelar-servicos
assistência na linha,reparar-linha
quero cancelamento do serviço,cancelar-servicos
meu passa pra alguém que que fale de verdade que eu possa tá me ajudando porque não dá eu tô cansada né,reparar-linha
um reparo na minha linha telefônica,reparar-linha
concerto de linha,reparar-linha
informação sobre telefone adquirir uma linha,comprar-linha
eu quero que liga meu telefone não ligou ainda,reparar-linha
quero reclamar sobre um problema na linha telefônica,reparar-linha
o meu telefone ficou fora do gancho o meu aparelho ficou fora do gancho,reparar-linha
é reparo no produto fixo,reparar-linha
tá com problema o telefone reparo,reparar-linha
minha linha não está fazendo ligação,reparar-linha
eu quero saber se meu telefone tá cortado,reparar-linha
porque meu telefone e tá fazendo ligação mas não tá chamando,reparar-linha
reparo na na na linha telefônica,reparar-linha
quero quero saber o porque que minha linha está desligada,reparar-linha
como faço para funcionar meu telefone da telefônica,reparar-linha
alterações de endereço,mudar-endereco
informações por não funcionar a linha,reparar-linha
como faço para cancelar a secretária eletrônica light,cancelar-servicos
é reparo na linha telefone,reparar-linha
quero outra linha telefônica,comprar-linha
como faço para o meu telefone funcionar normalmente,reparar-linha
telefone não completa a ligação,reparar-linha
reparo reparo de telefone,reparar-linha
como faço para cancelar o doct,cancelar-servicos
eu desejo que o telefone só toca uma vez só,reparar-linha
compra compra de uma linha telefônica,comprar-linha
quero arrumar meu telefone,reparar-linha
o motivo é que eu estou dois dias sem telefone,reparar-linha
é o meu telefone não funciona,reparar-linha
favor eu quero ficar um linha telefônica residencial econômica,comprar-linha
solicitar contas pagas,pagar-conta
quero um técnico pra arrumar o meu telefone que tá com problema,reparar-linha
quero comprar uma nova linha telefônica quero saber se vocês tem alguma promoção,comprar-linha
telefone não completa ligação,reparar-linha
comprar produto produto telefone produto,comprar-linha
meu telefone fixo está com defeito,reparar-linha
reparo telefônico,reparar-linha
quero saber se a minha conta de do mês seis foi paga do mês sete,pagar-conta
uma nova linha pedido de uma nova linha,comprar-linha
quero saber porque tá dando temporariamente fora de serviço minha linha,reparar-linha
quero saber porque meu telefone não tá recebendo,reparar-linha
defeito no meu telefone convencional,reparar-linha
o número do meu telefone está caindo em outro local,reparar-linha
eu queria confirmar a visita do técnico,vago-visitaTecnica
quero solução pro problema do meu telefone,reparar-linha
é problema na linha telefônica,reparar-linha
quero saber se o meu telefone esta clonado,reparar-linha
quero saber por caso que minha linha tá sem linha desde três dias,reparar-linha
quero cancelar a conta,cancelar-conta
quero saber como faço para ter o telefone produto na minha casa,comprar-linha
eu liguei pra saber porque o meu telefone não tá fazendo ligação,reparar-linha
gostaria de resolver como pagar a minha conta,pagar-conta
reparo linha telefônica,reparar-linha
linha com problema manutenção,reparar-linha
meu o meu telefone três nove cinco quatro sete sete oito sete não está fazendo ligação,reparar-linha
eu desejo solicitar reparo numa linha telefônica,reparar-linha
reparo numa linha numa linha telefônica,reparar-linha
quero saber porque cortaram meu telefone,reparar-linha
eu quero a minha linha esta com problema,reparar-linha
saber se eu paguei minha conta do mês cinco,pagar-conta
eu quero saber como eu faço pra poder arrumar meu telefone,reparar-linha
assinar na linha telefônica,comprar-linha
é referente a o telefone da minha residência que não está funcionando não recebe ligação e nem consigo fazer chamada,reparar-linha
o o conserto o reparo numa linha telefônica,reparar-linha
eu quero é o técnico pra arrumar a minha linha telefônica,reparar-linha
solicitar uma linha nova,comprar-linha
assistência da linha telefônica,reparar-linha
